"day_of_year","tv_ad_spend","social_media_spend","email_marketing","product_price","competitor_price","temperature","is_holiday","viral_campaign","sales"
1,44.6046781969911,57.4413066091509,17.3382113886709,11.7459632921964,8.37918733675555,21.946005621858,"1","0",1249.44666581326
2,165.592370801815,36.7146728456786,26.0205064494138,31.4429757837206,31.7689028701352,18.4743631854285,"0","0",1236.71188723339
3,7.21874755065335,2.12082454871897,13.0203638926569,18.4784999769181,17.3949713178152,21.380815497734,"0","0",1023.4983832343
4,83.1261660093982,2.85843753527556,1.58448357537062,10.55759399198,8.40655088311401,15.6980008396443,"0","0",1068.66663626471
5,216.793951204841,41.3866536238605,7.73634352175955,46.5348038543016,42.9769363776736,19.1743996991051,"0","0",1082.2371722794
6,105.880784833121,8.37998680864012,4.64118308665819,13.7031431030482,9.69374172369896,5.09731101160838,"0","0",1061.98159285203
7,17.5358861372694,39.5063696083937,35.3977712223298,20.3114427998662,19.0663828054343,23.1128411880445,"0","0",1179.28600932214
8,6.5200056063208,14.8343241963221,42.4220865520304,28.2466331589967,24.2833542799249,19.534299551052,"0","0",1007.32078371443
9,168.689098264172,22.9451376211145,17.7875195261933,36.9700217433274,31.6256308599011,23.2336020298474,"0","0",1056.13491276058
10,98.6523318439851,11.2463961726178,10.9573961203165,21.7404108215123,18.6156338005706,17.5796763089501,"0","0",1062.61430994331
11,101.549860880902,19.8614189165297,28.4751132357979,13.7994040455669,16.4006310788499,19.3207965362581,"0","0",1075.82870719256
12,81.9310377303862,0.261296088921488,2.18160284047529,20.1238412968814,20.6567967552498,11.6807531585109,"0","0",1063.52670292385
13,44.823813133632,33.5956358520846,73.1424691549252,23.1423131003976,17.0905465778559,12.7480417366758,"0","0",1086.54306065772
14,175.242881353678,31.3678645690671,63.1112802519058,43.3076190855354,39.1293494119563,15.7236948416206,"0","0",1126.23959515936
15,134.072734918526,23.9537854124248,11.7386503594259,48.876002766192,45.2123676136296,21.5801233476432,"0","0",1089.78368584729
16,71.6287037856462,8.39126267439946,0.860861111160438,28.9090845454484,25.9068679724043,22.4492437563438,"0","0",1089.92664071983
17,48.8417038476272,24.3569648350908,7.2454090161238,30.9746410511434,25.2817104986057,9.61828761916092,"0","0",1093.5559877731
18,62.3634716408555,29.8579054004964,24.2690419499587,37.6308853551745,38.8609187549536,17.4871851454513,"0","0",1092.01058998686
19,25.3288797948656,18.3482283227937,35.7928528944333,10.6299227382988,8.47195055218303,21.5217226839503,"0","0",1091.32050744217
20,69.8601289256697,48.8294025226245,32.0049827833021,11.9964058045298,10.2568183085068,18.738141770204,"0","0",1097.91040899562
21,7.27322995917651,55.5816204824422,12.8825323515392,49.4700473919511,42.2723392092262,20.4306150374613,"0","0",1018.27047466162
22,20.6064311640297,17.0960349138714,0.545249682380721,42.3412043973804,34.9861118897761,17.628502967108,"0","0",1029.54386778568
23,21.495577265051,37.2751077243089,18.4986526040625,38.4378204029053,37.2148283438608,22.6902393718713,"0","0",1025.19580662595
24,56.6810784907417,26.290336618656,29.8143506689583,25.7731559406966,23.4105468158919,17.7526100259257,"0","0",1044.9104771464
25,58.018975476506,3.77759767476751,5.28692739378307,48.6609998624772,42.5883737440855,31.0767474502242,"0","0",1317.95276534773
26,67.284585197127,48.9815927686033,42.8169926056317,22.2123570274562,18.5431600466456,23.1141015383257,"0","0",1245.90473976426
27,133.748804229701,26.5199116253365,37.7259397027255,31.7089701723307,28.5517031883912,18.1603187010313,"0","0",1597.28076158421
28,123.098248466732,8.17178371196412,58.5033866555608,22.3928119428456,14.196349339988,23.4052574019438,"0","0",1122.39918477284
29,112.755699853429,17.1307212738455,41.8429605764198,17.5005852337927,17.5649946699626,14.4241803662778,"0","0",1113.20397932798
